Reading Date,One Day Total kWh,Status,Substitute Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
2021-03-24,3794.65,ORIG,,57.903,46.3,40.002,52.267,47.737,30.83,41.217,51.494,45.416,44.974,36.576,50.941,36.263,59.207,61.445,69.056,83.718,87.747,67.489,82.934,83.27,122.555,187.694,152.998,143.372,149.752,144.156,100.954,101.402,112.594,128.151,143.261,117.966,87.859,90.321,90.881,65.251,55.513,66.706,64.579,65.139,53.611,70.175,62.341,70.623,61.333,50.813,57.864
2021-03-25,3924.059,ORIG,,71.071,75.1,123.786,132.74,127.927,109.236,106.326,106.662,116.175,104.647,110.579,94.239,72.584,78.01,82.194,111.137,117.581,114.754,105.371,97.909,111.476,99.605,92.708,96.439,97.343,98.474,98.248,88.751,81.515,90.447,68.061,92.143,68.74,64.33,79.028,64.104,36.518,41.04,32.109,37.648,42.962,39.118,41.832,33.918,32.448,58.564,43.075,35.387
2021-03-26,2626.973,ORIG,,44.206,28.491,103.222,118.146,97.004,71.34,69.983,86.829,69.87,86.264,62.974,68.853,74.281,75.964,66.202,75.066,58.684,62.275,36.243,59.582,50.605,57.113,43.873,47.688,53.522,51.391,39.609,51.391,45.668,41.292,50.717,35.345,48.137,41.404,48.137,38.038,29.959,51.054,35.682,51.503,33.999,47.575,42.638,40.17,43.76,35.457,28.837,26.93
2021-03-27,2240.812,ORIG,,62.611,45.892,70.353,57.337,47.912,54.196,64.294,48.698,52.4,55.654,46.005,59.133,49.833,56.47,49.721,59.507,43.984,53.32,38.697,55.57,44.884,46.459,47.471,35.659,52.533,38.809,39.259,47.808,38.134,54.22,34.647,47.471,44.884,55.57,48.596,60.97,46.346,32.285,45.221,38.247,35.547,33.297,33.072,38.134,33.635,50.733,22.836,22.498
2021-03-28,2144.402,ORIG,,56.92,46.796,56.583,41.059,48.596,60.857,42.409,52.083,49.158,41.284,53.32,47.358,42.409,52.87,50.171,42.746,44.321,42.296,54.108,48.708,38.022,56.47,39.484,30.147,47.471,55.233,38.022,42.521,51.746,33.972,51.296,43.084,35.659,36.784,58.383,45.446,25.873,29.472,40.722,48.371,31.61,47.583,35.322,43.759,42.746,46.459,36.784,37.909
2021-03-29,2259.223,ORIG,,43.646,41.396,55.795,40.722,41.621,44.434,52.083,42.409,51.521,41.846,43.084,59.282,40.394,54.42,58.123,54.196,54.083,61.377,43.985,56.103,54.196,41.853,51.615,51.503,38.599,50.156,45.78,40.619,48.137,37.365,50.156,44.658,42.638,44.77,47.575,49.595,44.434,42.077,47.463,46.341,44.546,47.912,44.995,49.371,48.698,47.351,36.13,40.17
2021-03-30,2320.519,ORIG,,55.542,47.688,76.525,62.723,53.747,63.733,63.172,58.796,56.664,64.855,58.684,55.206,64.81,57.055,59.824,57.276,51.183,55.615,38.886,53.62,46.087,44.758,42.099,43.428,40.769,41.988,43.096,41.434,39.107,37.889,39.994,44.314,40.991,41.212,48.081,38.997,42.32,36.67,39.44,42.542,42.32,40.991,41.212,49.189,37.889,46.752,35.119,36.227
2021-03-31,2082.336,ORIG,,52.513,41.766,72.122,54.728,50.408,42.763,41.656,50.629,43.317,41.212,44.425,58.052,41.656,36.781,49.411,35.452,50.962,54.396,89.294,61.265,70.792,56.722,56.944,57.941,56.833,52.956,74.559,47.97,32.46,40.769,22.157,43.096,33.901,28.25,40.991,28.583,31.02,34.233,18.28,40.991,16.175,41.766,24.484,22.49,24.816,45.09,10.414,14.845
2021-04-01,2743.394,ORIG,,48.413,37.556,63.37,29.137,45.09,42.874,36.005,38.0,44.425,42.209,55.282,37.778,73.894,84.197,64.256,70.128,70.792,63.48,72.897,59.603,66.472,55.393,73.23,51.737,71.568,54.396,55.282,53.953,70.128,46.973,52.069,54.95,65.918,57.166,52.18,73.894,51.959,54.396,64.256,51.294,58.273,60.6,64.034,53.731,68.909,59.271,58.717,63.259
2021-04-02,3094.269,ORIG,,65.142,62.373,85.416,70.017,74.67,63.037,75.334,69.352,75.334,71.125,77.772,70.792,64.865,73.926,72.931,78.014,65.859,66.964,63.87,79.561,63.207,74.81,56.245,74.036,55.803,63.097,61.218,74.92,51.273,62.986,52.82,56.356,63.539,71.826,52.267,69.395,61.992,54.035,63.539,51.604,60.113,55.03,60.003,55.914,61.439,57.682,44.09,38.676
2021-04-03,3084.072,ORIG,,77.13,73.594,77.904,81.771,62.655,62.434,80.777,61.771,72.821,63.428,80.114,63.539,69.13,70.681,73.34,74.337,60.489,74.781,58.163,68.023,72.565,61.929,74.337,54.728,75.002,65.364,56.058,58.606,70.017,64.034,60.489,59.824,62.151,64.588,58.717,70.128,49.743,64.477,47.86,66.472,47.195,67.469,49.189,64.256,60.157,49.521,43.65,38.664
2021-04-04,2199.445,ORIG,,72.122,52.402,78.99,55.171,49.189,57.498,57.72,45.311,64.699,50.297,61.154,51.515,52.378,55.361,50.72,55.251,47.516,48.621,48.4,48.4,47.184,46.963,48.952,34.366,55.914,37.018,46.963,40.444,35.25,39.449,49.394,31.162,43.206,36.024,45.748,38.123,35.361,34.256,34.808,47.074,34.366,40.996,41.217,35.913,35.14,35.25,22.1,24.089
2021-04-05,2352.882,ORIG,,55.582,51.052,65.749,55.03,50.499,46.742,58.566,47.074,40.223,62.544,41.549,56.798,46.538,50.537,59.756,42.096,57.645,45.983,55.646,51.981,55.646,53.314,41.429,59.422,42.651,56.201,39.652,58.867,45.094,40.541,48.093,56.313,46.76,43.095,57.423,60.089,34.21,46.316,43.206,46.427,43.762,52.869,42.429,45.872,50.759,39.541,35.876,25.435
2021-04-06,2810.626,ORIG,,67.308,57.534,77.749,60.977,53.869,47.427,50.87,49.759,49.759,45.428,55.757,48.76,39.541,60.533,55.424,38.986,51.87,43.651,62.088,62.31,53.091,50.204,53.091,64.532,56.201,76.083,77.083,77.305,67.308,45.872,57.645,70.307,53.314,64.865,54.646,55.313,63.532,51.759,66.753,59.867,69.863,63.31,66.087,69.752,68.197,72.084,53.203,49.759
2021-04-07,2489.303,ORIG,,84.746,72.418,75.528,74.639,79.526,75.528,72.862,75.75,68.975,68.975,72.307,64.31,70.903,73.23,64.256,75.334,55.836,47.416,40.769,36.781,53.399,45.533,41.656,31.574,41.877,47.638,38.0,45.533,32.682,52.18,34.344,44.868,43.317,31.574,41.434,40.105,46.641,41.545,42.32,51.183,40.326,49.632,38.0,46.198,34.011,39.551,26.035,18.058
2021-04-08,1933.547,ORIG,,62.483,52.402,49.521,50.408,40.548,49.632,34.676,52.291,41.434,42.542,45.201,40.769,47.638,43.317,51.294,43.096,34.898,47.306,42.209,32.571,38.221,43.982,31.131,35.23,40.215,32.017,41.988,36.781,43.207,23.819,37.667,41.434,27.364,38.664,48.967,44.425,46.53,48.524,25.592,49.632,31.463,27.918,35.452,31.242,52.18,33.125,19.498,23.043
2021-04-09,2116.345,ORIG,,55.836,50.629,45.201,43.539,38.886,50.629,39.44,45.09,36.559,48.635,41.656,42.542,31.02,51.072,33.901,32.017,40.769,26.256,58.273,44.425,54.839,54.617,51.405,50.186,48.192,46.641,28.14,43.317,89.294,82.979,61.597,47.97,41.877,43.539,45.311,47.749,32.128,38.664,29.691,32.239,40.548,27.475,34.233,32.903,47.527,34.787,32.35,39.772
2021-04-10,1927.494,ORIG,,48.413,35.452,30.355,40.88,46.641,33.457,47.86,31.796,51.405,30.245,43.76,41.766,49.537,37.875,35.209,50.981,57.756,34.432,42.873,41.207,45.983,29.767,48.538,34.654,38.319,39.541,34.099,39.097,32.432,46.538,35.32,45.65,35.098,46.76,34.654,44.761,29.989,51.092,31.877,45.761,36.431,49.426,36.986,44.206,39.874,51.092,24.769,22.88
2021-04-11,2006.698,ORIG,,57.09,50.093,50.537,40.652,57.312,36.986,49.982,40.318,50.87,50.537,36.653,50.981,51.112,38.417,41.869,48.996,35.077,49.887,35.967,48.439,28.507,41.09,49.553,45.432,35.411,29.509,45.544,27.727,38.083,34.186,35.967,36.079,33.963,45.655,39.085,40.087,33.295,38.974,39.531,48.55,42.203,41.981,41.201,47.548,46.546,43.762,28.618,26.836
